X (m),Y (m),Z (m)
127.04719766695052,-155.54742532223463,-7.464956562280577
122.04719766695052,-160.54742532223463,-8.124657765480833
127.04719766695052,-160.54742532223463,-7.66359121603864
122.04719766695052,-155.54742532223463,-7.922952423239963
132.04719766695052,-155.54742532223463,-7.006960701321077
132.04719766695052,-160.54742532223463,-7.202524666596332
137.04719766695052,-155.54742532223463,-6.5489648403615774
137.04719766695052,-160.54742532223463,-6.741458117154025
142.04719766695052,-155.54742532223463,-6.0909689794021915
142.04719766695052,-160.54742532223463,-6.2803915677117175
147.04719766695052,-155.54742532223463,-5.632900276415171
147.04719766695052,-160.54742532223463,-5.819287540538426
152.04719766695052,-155.54742532223463,-5.167549662190368
152.04719766695052,-160.54742532223463,-5.354436919275599
97.04719766695052,-150.54742532223463,-9.630285809135898
92.04719766695052,-155.54742532223463,-10.06908224198071
97.04719766695052,-155.54742532223463,-9.857502164519929
92.04719766695052,-150.54742532223463,-9.863859328001581
102.04719766695052,-150.54742532223463,-9.248659552998788
102.04719766695052,-155.54742532223463,-9.470768663201738
107.04719766695052,-150.54742532223463,-8.867033296861678
107.04719766695052,-155.54742532223463,-9.084035161883435
112.04719766695052,-150.54742532223463,-8.485407040724567
112.04719766695052,-155.54742532223463,-8.697301660565017
117.04719766695052,-150.54742532223463,-8.103780784587343
117.04719766695052,-155.54742532223463,-8.310568159246827
122.04719766695052,-150.54742532223463,-7.721247080998978
127.04719766695052,-150.54742532223463,-7.2663219085224
132.04719766695052,-150.54742532223463,-6.811396736045822
137.04719766695052,-150.54742532223463,-6.356471563569357
142.04719766695052,-150.54742532223463,-5.901546391092552
147.04719766695052,-150.54742532223463,-5.446513012291916
152.04719766695052,-150.54742532223463,-4.9806624051052495
67.04719766695052,-145.54742532223463,-10.68886433507464
62.047197666950524,-150.54742532223463,-10.744978785546891
67.04719766695052,-150.54742532223463,-10.76931650847439
62.047197666950524,-145.54742532223463,-10.699913918896527
72.04719766695052,-145.54742532223463,-10.673608357377475
72.04719766695052,-150.54742532223463,-10.789222776630709
77.04719766695052,-145.54742532223463,-10.419865371538776
77.04719766695052,-150.54742532223463,-10.557881914473455
82.04719766695052,-145.54742532223463,-10.166122385700078
82.04719766695052,-150.54742532223463,-10.326541052316315
87.04719766695052,-145.54742532223463,-9.912379399861265
87.04719766695052,-150.54742532223463,-10.095200190158835
92.04719766695052,-145.54742532223463,-9.658636414022567
97.04719766695052,-145.54742532223463,-9.403069453751868
102.04719766695052,-145.54742532223463,-9.026550442795951
107.04719766695052,-145.54742532223463,-8.650031431840034
112.04719766695052,-145.54742532223463,-8.273512420884003
117.04719766695052,-145.54742532223463,-7.896993409928086
122.04719766695052,-145.54742532223463,-7.519541738758107
127.04719766695052,-145.54742532223463,-7.067687254764223
132.04719766695052,-145.54742532223463,-6.615832770770567
137.04719766695052,-145.54742532223463,-6.16397828677691
142.04719766695052,-145.54742532223463,-5.71212380278314
147.04719766695052,-145.54742532223463,-5.260125748168434
152.04719766695052,-145.54742532223463,-4.793775148020131
42.047197666950524,-140.54742532223463,-10.749546263124671
37.047197666950524,-145.54742532223463,-10.604888766736622
42.047197666950524,-145.54742532223463,-10.669727320350148
37.047197666950524,-140.54742532223463,-10.703092816567278
47.047197666950524,-140.54742532223463,-10.79415972396032
47.047197666950524,-145.54742532223463,-10.733062670362187
52.047197666950524,-140.54742532223463,-10.747722833389048
52.047197666950524,-145.54742532223463,-10.7220130865403
57.047197666950524,-140.54742532223463,-10.701285942817776
57.047197666950524,-145.54742532223463,-10.710963502718414
62.047197666950524,-140.54742532223463,-10.654849052246277
67.04719766695052,-140.54742532223463,-10.608412161674892
72.04719766695052,-140.54742532223463,-10.557993938124241
77.04719766695052,-140.54742532223463,-10.281848828604097
82.04719766695052,-140.54742532223463,-10.00570371908384
87.04719766695052,-140.54742532223463,-9.729558609563583
92.04719766695052,-140.54742532223463,-9.453413500043553
97.04719766695052,-140.54742532223463,-9.175853098367838
102.04719766695052,-140.54742532223463,-8.804441332593115
107.04719766695052,-140.54742532223463,-8.433029566818277
112.04719766695052,-140.54742532223463,-8.06161780104344
117.04719766695052,-140.54742532223463,-7.690206035268602
122.04719766695052,-140.54742532223463,-7.317836396517123
127.04719766695052,-140.54742532223463,-6.86905260100616
132.04719766695052,-140.54742532223463,-6.420268805495311
137.04719766695052,-140.54742532223463,-5.9714850099844625
142.04719766695052,-140.54742532223463,-5.522701214473727
147.04719766695052,-140.54742532223463,-5.07373848404518
152.04719766695052,-140.54742532223463,-4.6068878909349
32.047197666950524,-135.54742532223463,-10.766082298592096
27.047197666950524,-140.54742532223463,-10.610185923452264
32.047197666950524,-140.54742532223463,-10.65663937000977
27.047197666950524,-135.54742532223463,-10.738016942349418
37.047197666950524,-135.54742532223463,-10.794147654834887
42.047197666950524,-135.54742532223463,-10.822213011077565
47.047197666950524,-135.54742532223463,-10.848114643443864
52.047197666950524,-135.54742532223463,-10.766945977953924
57.047197666950524,-135.54742532223463,-10.685777312463756
62.047197666950524,-135.54742532223463,-10.604608646973475
67.04719766695052,-135.54742532223463,-10.523439981483193
72.04719766695052,-135.54742532223463,-10.438510104604347
77.04719766695052,-135.54742532223463,-10.140333423527409
82.04719766695052,-135.54742532223463,-9.84215674245047
87.04719766695052,-135.54742532223463,-9.543980061373304
92.04719766695052,-135.54742532223463,-9.245803380296593
97.04719766695052,-135.54742532223463,-8.946610360016393
102.04719766695052,-135.54742532223463,-8.580021487771319
107.04719766695052,-135.54742532223463,-8.213432615525903
112.04719766695052,-135.54742532223463,-7.846843743280601
117.04719766695052,-135.54742532223463,-7.480254871035413
122.04719766695052,-135.54742532223463,-7.112688681405416
127.04719766695052,-135.54742532223463,-6.667157160619922
132.04719766695052,-135.54742532223463,-6.221625639834315
137.04719766695052,-135.54742532223463,-5.776094119048821
142.04719766695052,-135.54742532223463,-5.330562598263214
147.04719766695052,-135.54742532223463,-4.884815271396178
152.04719766695052,-135.54742532223463,-4.417494125376379
27.047197666950524,-130.54742532223463,-10.651070273339656
22.047197666950524,-135.54742532223463,-10.70995158610674
22.047197666950524,-130.54742532223463,-10.641482705775275
32.047197666950524,-130.54742532223463,-10.660657840903923
37.047197666950524,-130.54742532223463,-10.670245408468418
42.047197666950524,-130.54742532223463,-10.679832976032571
47.047197666950524,-130.54742532223463,-10.687325277655532
52.047197666950524,-130.54742532223463,-10.591134872399152
57.047197666950524,-130.54742532223463,-10.494944467142659
62.047197666950524,-130.54742532223463,-10.398754061886052
67.04719766695052,-130.54742532223463,-10.302563656629445
72.04719766695052,-130.54742532223463,-10.202683650269364
77.04719766695052,-130.54742532223463,-9.893616878583998
82.04719766695052,-130.54742532223463,-9.584550106898632
87.04719766695052,-130.54742532223463,-9.275483335213266
92.04719766695052,-130.54742532223463,-8.966416563528128
97.04719766695052,-130.54742532223463,-8.656439871634689
102.04719766695052,-130.54742532223463,-8.28612422258118
107.04719766695052,-130.54742532223463,-7.915808573527443
112.04719766695052,-130.54742532223463,-7.54549292447382
117.04719766695052,-130.54742532223463,-7.175177275420197
122.04719766695052,-130.54742532223463,-6.804038303101379
127.04719766695052,-130.54742532223463,-6.367218854802445
132.04719766695052,-130.54742532223463,-5.930399406503511
137.04719766695052,-130.54742532223463,-5.493579958204805
142.04719766695052,-130.54742532223463,-5.056760509905871
147.04719766695052,-130.54742532223463,-4.6196430770164625
152.04719766695052,-130.54742532223463,-4.1527365593063905
17.047197666950524,-125.54742532223463,-10.478948492145719
12.047197666950524,-130.54742532223463,-10.392874159110306
17.047197666950524,-130.54742532223463,-10.518471017745355
12.047197666950524,-125.54742532223463,-10.382536588542962
22.047197666950524,-125.54742532223463,-10.573013825443923
27.047197666950524,-125.54742532223463,-10.56412360432978
32.047197666950524,-125.54742532223463,-10.555233383215864
37.047197666950524,-125.54742532223463,-10.546343162101834
42.047197666950524,-125.54742532223463,-10.537452940987805
47.047197666950524,-125.54742532223463,-10.526535911867313
52.047197666950524,-125.54742532223463,-10.415323766844494
